n,Best,Average,Worst
100,0.0013320400030352175,0.0006542399991303682,0.00037689000018872323
600,0.0028754599974490703,0.0025596700026653705,0.0026333199988584966
1100,0.004611439991276711,0.005039510002825409,0.006094689993187785
1600,0.006358899996848777,0.007565109996357932,0.009090229996945708
2100,0.010598590009612963,0.008637580001959577,0.008661380002740771
2600,0.011368609993951395,0.011686050012940541,0.012845329998526722
3100,0.012108489993261173,0.013313150004250929,0.013012320006964728
3600,0.014197459997376427,0.015604419994633644,0.01886876001372002
4100,0.018777620000764727,0.01778777000727132,0.018021000013686717
4600,0.018776089994935317,0.020581930008484052,0.020895820000441746
5100,0.021853799995733426,0.023192990006646142,0.022714680002536625
5600,0.024859839997952805,0.02542981000151485,0.025523810001322998
6100,0.025573750003241004,0.029293080006027594,0.027437830006238072
6600,0.02803116000141017,0.031890429998748006,0.02966506999800913
7100,0.030299180001020432,0.04440312999649905,0.15255742999142968
7600,0.05662549999542534,0.04837843999266624,0.042058149992953986
8100,0.04599339000415057,0.04974381000502035,0.04422516999184154
8600,0.0406858199974522,928.1346259700076,0.04806217000586912
9100,0.05115941998665221,0.05029423999949358,0.044610319985076786
9600,0.04852216000435874,0.0509803699911572,0.04347387000452727
