Size,Time(microseconds)
50000,92.44
60000,180.64
70000,170.16
80000,256.72
90000,194.36
100000,182.22
110000,151.86
120000,261.22
130000,282.84
140000,341.12
150000,289.64
160000,290.14
170000,350.06
180000,429.62
190000,294.26
200000,316.44
210000,383.9
220000,501.8
230000,500.22
240000,564.4
250000,724.9
260000,433.5
270000,656.4
280000,711.54
290000,565
300000,1021.2
310000,810
320000,939.06
330000,946.86
340000,1566.6
350000,956.56
360000,752.32
370000,976.78
380000,900.32
390000,794.72
400000,1031.54
410000,903.54
420000,1177.8
430000,1186.22
440000,1162.62
450000,1231.74
460000,1339.62
470000,1206.96
480000,1382.14
490000,1413.22
500000,1727.34
510000,1542.58
520000,1512.06
530000,1581.86
540000,1624.32
550000,1580.52
560000,1607.16
570000,1413.1
580000,1613.12
590000,1805.94
600000,1810.8
610000,1907.72
620000,1798.74
630000,1935.56
640000,1757.78
650000,1870.06
660000,1716.02
670000,1890.02
680000,2162.34
690000,1568.5
700000,1580.98
710000,1719.44
720000,1887.1
730000,1739.3
740000,2075.26
750000,1883.1
760000,2121.82
770000,2018.76
780000,1803.98
790000,2776.44
800000,1866.42
810000,2076.06
820000,1950.34
830000,2227.68
840000,2145.5
850000,2236.5
860000,2344.58
870000,2409.28
880000,2427.08
890000,2618.36
900000,2683.98
910000,2710.48
920000,2530.42
930000,2863.56
940000,2781.18
950000,3168.42
960000,2906.44
970000,2744.68
980000,2984.12
990000,2819.66
1000000,2856.78
