Size,Time(microseconds)
50000,11093.1
60000,14431
70000,15485.4
80000,17116.6
90000,20223.8
100000,22897.5
110000,25724.9
120000,26942.5
130000,30550.3
140000,33042.8
150000,34357.8
160000,37064.2
170000,37711.3
180000,39725.6
190000,41469.7
200000,42963.7
210000,47523.8
220000,77268.1
230000,79103.5
240000,83729.8
250000,93090.6
260000,93869.3
270000,94553.2
280000,100026
290000,102977
300000,110865
310000,111848
320000,115735
330000,172042
340000,142824
350000,142781
360000,146847
370000,152821
380000,157760
390000,164248
400000,166721
410000,174961
420000,180196
430000,183655
440000,189513
450000,194063
460000,199063
470000,202317
480000,209882
490000,215047
500000,221699
