Size,Time(microseconds)
50000,6049.37
60000,7010.12
70000,8836.54
80000,10532.8
90000,16175.8
100000,20369.6
110000,19759.1
120000,22462.1
130000,23125.2
140000,26476.5
150000,29401.6
160000,30314.1
170000,32762.3
180000,35150.7
190000,35952.9
200000,38506
210000,40631.1
220000,46170.1
230000,45225.2
240000,49153.9
250000,47878.2
260000,52948.3
270000,55473.1
280000,54254.1
290000,58360.8
300000,59946.3
310000,61137.7
320000,65393
330000,66831.8
340000,69132.9
350000,69932.6
360000,71833.8
370000,74941.9
380000,75843.3
390000,116063
400000,98755.9
410000,90874.7
420000,93485.8
430000,96052.5
440000,98115.6
450000,100113
460000,111345
470000,106547
480000,107457
490000,111205
500000,111759
