Size,Time(nanoseconds)
8000,110.06
13000,140.15
18000,145.61
23000,147.57
28000,164.99
33000,169.46
38000,193.78
43000,200.75
48000,165.37
53000,150.13
58000,152.57
63000,156.87
68000,160.17
73000,153.68
78000,141.58
83000,150.17
88000,155.49
93000,148.1
98000,130.06
103000,146.48
108000,146.74
113000,150.11
118000,143.75
123000,165.36
128000,178.42
133000,150.15
138000,135.24
143000,200.77
148000,209.3
153000,206.62
158000,175.64
163000,181.26
168000,172.16
173000,165.31
178000,183.29
183000,166.52
188000,158.9
193000,150.55
198000,185.71
203000,167.51
208000,162.59
213000,166.8
218000,168.45
223000,150.18
228000,160.05
233000,171.84
238000,150.38
243000,157.08
248000,161.92
253000,140.19
258000,141.27
263000,166.68
268000,154.08
273000,162.15
278000,147.09
283000,146.77
288000,136.17
293000,162.76
298000,150.1
303000,161.57
308000,147.51
313000,192.78
318000,151.55
323000,150.06
328000,157.06
333000,151.72
338000,160.11
343000,145.47
348000,164.18
353000,153.86
358000,152.22
363000,156.6
368000,156.68
373000,158.75
378000,160.06
383000,156.77
388000,172.99
393000,145.03
398000,155.52
403000,150.11
408000,150.34
413000,156.18
418000,146.88
423000,137.52
428000,164.71
433000,159.99
438000,165.08
443000,155.63
448000,150.72
453000,144.56
458000,148.15
463000,166.71
468000,193.64
473000,146.28
478000,145.32
483000,180.63
488000,201.22
493000,179.82
498000,157.64
503000,196.26
508000,195.47
513000,167.58
518000,172.64
523000,196.47
528000,190.46
533000,180.45
538000,205.7
543000,178.34
548000,166.44
553000,162.87
558000,179.64
563000,162.19
568000,187.12
573000,165.34
578000,158.14
583000,162.09
588000,157.8
593000,173.19
598000,161.93
603000,167.49
608000,157.29
613000,157.18
618000,171.99
623000,160.24
628000,247.09
633000,163.26
638000,149.78
643000,149.28
648000,140.14
653000,142.72
658000,156.87
663000,163.8
668000,152.97
673000,143.83
678000,153.2
683000,137.29
688000,137.21
693000,150.17
698000,150.16
703000,144.55
708000,157.65
713000,133.14
718000,156.97
723000,156.53
728000,150.72
733000,161.73
738000,155.16
743000,147.31
748000,156.78
753000,176.91
758000,153.85
763000,140
768000,144.97
773000,160.98
778000,156.23
783000,153.44
788000,170.61
793000,167.06
798000,166.98
