Size,Time(microseconds)
50000,75.544
60000,74.625
70000,87.076
80000,98.554
90000,138.869
100000,146.777
110000,144.186
120000,206.021
130000,214.741
140000,193.626
150000,186.042
160000,208.293
170000,216.022
180000,241.877
190000,403.679
200000,417.118
210000,286.256
220000,302.28
230000,304.492
240000,433.694
250000,321.141
260000,584.364
270000,492.69
280000,423.743
290000,485.975
300000,585.616
310000,441.111
320000,394.392
330000,430.764
340000,537.848
350000,422.649
360000,440.928
370000,584.798
380000,471.202
390000,511.622
400000,568.264
410000,487.296
420000,792.56
430000,584.78
440000,533.31
450000,662.224
460000,563.725
470000,711.99
480000,667.94
490000,712.905
500000,600.83
510000,766.33
520000,625.65
530000,768.672
540000,650.982
550000,788.471
560000,806.608
570000,801.157
580000,672.305
590000,839.529
600000,702.886
610000,850.008
620000,734.534
630000,1002.39
640000,1026.16
650000,969.384
660000,1048.79
670000,969.284
680000,830.877
690000,959.496
700000,991.929
710000,847.036
720000,1016.66
730000,1015.07
740000,908.349
750000,1053.8
760000,1059.9
770000,965.708
780000,1057.12
790000,1099.55
800000,1056.91
810000,1043.17
820000,1121.96
830000,1142.51
840000,1129.11
850000,1078.87
860000,1175.79
870000,1222.37
880000,1229.82
890000,1179.23
900000,1119.38
910000,1245.8
920000,1251.09
930000,1252.36
940000,1632.09
950000,1509.22
960000,1963.96
970000,1396.33
980000,1543.8
990000,1484.1
1000000,1287.3
